Contig	sample_1	sample_2	sample_3	sample_4
bin1_1	59.71438	623.9613	170.0939	18.819046
bin1_2	10.346599	46.007614	27.85188	474.4283
bin1_3	2502.695	373.54166	0	629.479
bin2_1	248.80937	424.07416	64.01098	1.9596977
bin2_2	28.537767	12.314822	148.68091	1.8022335
bin3_1	275.44736	714.0349	209.6271	367.651
bin3_2	103.473564	27.267687	4.8672433	5.961167
bin3_3	0	0.98477155	11.195736	205.69127
bin3_4	17.25019	2.0138853	0	16.452484
bin3_5	0	110.46941	0.23529412	0
bin4_1	391.9822	21.618797	678.57635	493.28226
bin4_2	50.197918	22.456293	53.866276	18.584063
