Contig	sample_1	sample_2	sample_3	sample_4
bin1_1	16287.252	263328.28	123821.63	8442.172
bin1_2	2801.766	19290.123	20144.504	211476.67
bin1_3	675417.75	155967.42	0	279470.97
bin2_1	67871.41	178975.38	46607.98	878.81824
bin2_2	7773.5264	5179.4404	107965.13	804.2658
bin3_1	75554.83	302969.22	153455.94	165888.36
bin3_2	28318.709	11538.383	3553.8772	2683.8967
bin3_3	0	412.1459	8114.976	92056.77
bin3_4	4683.344	849.7851	0	7342.311
bin3_5	0	42786.684	146.61205	0
bin4_1	107517.484	9172.582	496739.3	222566.48
bin4_2	13773.82	9530.339	39450.055	8389.0625
