Contig	sample_1	sample_2	sample_3	sample_4
bin1_1	47.906166	574.5272	154.79158	12.800189
bin1_2	9.6845255	29.495037	25.65926	463.7083
bin1_3	1714.3915	263.11377	0	439.10104
bin2_1	51.921135	379.20493	10.39578	0.5881563
bin2_2	28.49391	12.292128	148.45341	1.7496052
bin3_1	106.32843	496.8128	54.42521	153.62378
bin3_2	103.5068	27.135696	4.8204417	5.85469
bin3_3	0	0.896684	11.117414	205.70099
bin3_4	17.231249	1.9574016	0	16.508917
bin3_5	0	111.01566	0.2075718	0
bin4_1	55.71827	4.0918145	102.44504	86.231575
bin4_2	50.124664	22.392353	53.844284	18.516138
