Contig	sample_1	sample_2	sample_3	sample_4
bin1_1	6475.11	486480.7	19340.01	1078.872
bin1_2	119.33441	10343.472	1131.9045	182511.55
bin1_3	33265394	657210.4	0	1924208.3
bin2_1	866706.2	306307.6	203402.25	50.65463
bin2_2	24.709362	9.695477	145.62798	1.6193268
bin3_1	915718.3	1949774.9	1237239.4	2703586.5
bin3_2	99.23353	30.395891	4.863737	6.581978
bin3_3	0	1.0197701	11.663779	232.66606
bin3_4	18.03346	1.8485777	0	14.039344
bin3_5	0	55.229313	0.18014273	0
bin4_1	4456694	7761.239	8620073	6583217
bin4_2	49.880623	22.729267	52.859352	18.247972
