Contig	sample_1 RPKM	sample_1 TPM	sample_1 Mean	sample_1 Trimmed Mean	sample_1 Covered Bases	sample_1 Variance	sample_1 Length	sample_1 Read Count	sample_2 RPKM	sample_2 TPM	sample_2 Mean	sample_2 Trimmed Mean	sample_2 Covered Bases	sample_2 Variance	sample_2 Length	sample_2 Read Count	sample_3 RPKM	sample_3 TPM	sample_3 Mean	sample_3 Trimmed Mean	sample_3 Covered Bases	sample_3 Variance	sample_3 Length	sample_3 Read Count	sample_4 RPKM	sample_4 TPM	sample_4 Mean	sample_4 Trimmed Mean	sample_4 Covered Bases	sample_4 Variance	sample_4 Length	sample_4 Read Count
bin1_1	592.9474	16287.252	59.71438	47.906166	18957	6475.11	19000	11266	6197.526	263328.28	623.9613	574.5272	18994	486480.7	19000	117753	1689.1052	123821.63	170.0939	154.79158	18983	19340.01	19000	32093	186.8421	8442.172	18.819046	12.800189	16893	1078.872	19000	3550
bin1_2	102	2801.766	10.346599	9.6845255	9236	119.33441	10000	1020	454	19290.123	46.007614	29.495037	9959	10343.472	10000	4540	274.8	20144.504	27.85188	25.65926	9900	1131.9045	10000	2748	4680.4	211476.67	474.4283	463.7083	9998	182511.55	10000	46804
bin1_3	24589	675417.75	2502.695	1714.3915	8000	33265394	8000	196712	3670.75	155967.42	373.54166	263.11377	7998	657210.4	8000	29366	0	0	0	0	0	0	8000	0	6185.25	279470.97	629.479	439.10104	7999	1924208.3	8000	49482
bin2_1	2470.9	67871.41	248.80937	51.921135	19986	866706.2	20000	49418	4212.25	178975.38	424.07416	379.20493	19996	306307.6	20000	84245	635.8	46607.98	64.01098	10.39578	16705	203402.25	20000	12716	19.45	878.81824	1.9596977	0.5881563	8656	50.65463	20000	389
bin2_2	283	7773.5264	28.537767	28.49391	9996	24.709362	10000	2830	121.9	5179.4404	12.314822	12.292128	9983	9.695477	10000	1219	1472.8	107965.13	148.68091	148.45341	10000	145.62798	10000	14728	17.8	804.2658	1.8022335	1.7496052	8272	1.6193268	10000	178
bin3_1	2750.62	75554.83	275.44736	106.32843	99981	915718.3	100000	275062	7130.4897	302969.22	714.0349	496.8128	99998	1949774.9	100000	713049	2093.36	153455.94	209.6271	54.42521	99962	1237239.4	100000	209336	3671.4402	165888.36	367.651	153.62378	99983	2703586.5	100000	367144
bin3_2	1030.96	28318.709	103.473564	103.5068	24999	99.23353	25000	25774	271.56	11538.383	27.267687	27.135696	24991	30.395891	25000	6789	48.48	3553.8772	4.8672433	4.8204417	24720	4.863737	25000	1212	59.4	2683.8967	5.961167	5.85469	24911	6.581978	25000	1485
bin3_3	0	0	0	0	0	0	10000	0	9.7	412.1459	0.98477155	0.896684	6102	1.0197701	10000	97	110.7	8114.976	11.195736	11.117414	9975	11.663779	10000	1107	2037.3999	92056.77	205.69127	205.70099	10000	232.66606	10000	20374
bin3_4	170.5	4683.344	17.25019	17.231249	7995	18.03346	8000	1364	20	849.7851	2.0138853	1.9574016	7004	1.8485777	8000	160	0	0	0	0	0	0	8000	0	162.5	7342.311	16.452484	16.508917	7979	14.039344	8000	1300
bin3_5	0	0	0	0	0	0	1000	0	1007	42786.684	110.46941	111.01566	1000	55.229313	1000	1007	2	146.61205	0.23529412	0.2075718	200	0.18014273	1000	2	0	0	0	0	0	0	1000	0
bin4_1	3914.24	107517.484	391.9822	55.71827	99992	4456694	100000	391424	215.88002	9172.582	21.618797	4.0918145	97979	7761.239	100000	21588	6776.2397	496739.3	678.57635	102.44504	99994	8620073	100000	677624	4925.84	222566.48	493.28226	86.231575	99994	6583217	100000	492584
bin4_2	501.44443	13773.82	50.197918	50.124664	90000	49.880623	90000	45130	224.3	9530.339	22.456293	22.392353	89993	22.729267	90000	20187	538.1555	39450.055	53.866276	53.844284	89999	52.859352	90000	48434	185.66667	8389.0625	18.584063	18.516138	90000	18.247972	90000	16710
