ViralSequence	sample_1	sample_2	sample_3	sample_4
bin1_1	0.997737	0.999684	0.999105	0.889105
bin1_2	0.923600	0.995900	0.990000	0.999800
bin1_3	1.000000	0.999750	0.000000	0.999875
bin2_1	0.999300	0.999800	0.835250	0.432800
bin2_2	0.999600	0.998300	1.000000	0.827200
bin3_1	0.999810	0.999980	0.999620	0.999830
bin3_2	0.999960	0.999640	0.988800	0.996440
bin3_3	0.000000	0.610200	0.997500	1.000000
bin3_4	0.999375	0.875500	0.000000	0.997375
bin3_5	0.000000	1.000000	0.200000	0.000000
bin4_1	0.999920	0.979790	0.999940	0.999940
bin4_2	1.000000	0.999922	0.999989	1.000000
