ViralSequence	sample_1	sample_2	sample_3	sample_4
bin1_1	59.294737	619.752632	168.910526	18.684211
bin1_2	10.200000	45.400000	27.480000	468.040000
bin1_3	2458.900000	367.075000	0.000000	618.525000
bin2_1	247.090000	421.225000	63.580000	1.945000
bin2_2	28.300000	12.190000	147.280000	1.780000
bin3_1	275.062000	713.049000	209.336000	367.144000
bin3_2	103.096000	27.156000	4.848000	5.940000
bin3_3	0.000000	0.970000	11.070000	203.740000
bin3_4	17.050000	2.000000	0.000000	16.250000
bin3_5	0.000000	100.700000	0.200000	0.000000
bin4_1	391.424000	21.588000	677.624000	492.584000
bin4_2	50.144444	22.430000	53.815556	18.566667
