ViralSequence	sample_1	sample_2	sample_3	sample_4
bin1_1	592.947	6197.526	1689.105	186.842
bin1_2	102.000	454.000	274.800	4680.400
bin1_3	24589.000	3670.750	0.000	6185.250
bin2_1	2470.900	4212.250	635.800	19.450
bin2_2	283.000	121.900	1472.800	17.800
bin3_1	2750.620	7130.490	2093.360	3671.440
bin3_2	1030.960	271.560	48.480	59.400
bin3_3	0.000	9.700	110.700	2037.400
bin3_4	170.500	20.000	0.000	162.500
bin3_5	0.000	1007.000	2.000	0.000
bin4_1	3914.240	215.880	6776.240	4925.840
bin4_2	501.444	224.300	538.156	185.667
