ViralSequence	sample_1	sample_2	sample_3	sample_4
bin1_1	16287.252	263328.340	123821.617	8442.174
bin1_2	2801.766	19290.126	20144.500	211476.702
bin1_3	675417.848	155967.471	0.000	279471.044
bin2_1	67871.404	178975.408	46607.980	878.818
bin2_2	7773.527	5179.441	107965.135	804.266
bin3_1	75554.835	302969.282	153455.931	165888.391
bin3_2	28318.711	11538.385	3553.877	2683.898
bin3_3	0.000	412.146	8114.979	92056.797
bin3_4	4683.344	849.785	0.000	7342.314
bin3_5	0.000	42786.690	146.612	0.000
bin4_1	107517.490	9172.583	496739.317	222566.533
bin4_2	13773.823	9530.342	39450.052	8389.064
