Contig	sample_1 Reads per base	sample_2 Reads per base	sample_3 Reads per base	sample_4 Reads per base
bin1_1	0.59294736	6.1975265	1.6891053	0.1868421
bin1_2	0.102	0.454	0.2748	4.6804
bin1_3	24.589	3.67075	0	6.18525
bin2_1	2.4709	4.21225	0.6358	0.01945
bin2_2	0.283	0.1219	1.4728	0.0178
bin3_1	2.75062	7.13049	2.09336	3.67144
bin3_2	1.03096	0.27156	0.04848	0.0594
bin3_3	0	0.0097	0.1107	2.0374
bin3_4	0.1705	0.02	0	0.1625
bin3_5	0	1.007	0.002	0
bin4_1	3.91424	0.21588	6.77624	4.92584
bin4_2	0.50144446	0.2243	0.53815556	0.18566667
