feature	sample_1	sample_2	sample_3	sample_4
Gene1.1	3121	19662	5531	1389
Gene1.2	6335	76494	10207	46
Gene1.3	313	1018	11635	1511
Gene2.1	246	3364	57	9131
Gene2.2	651	390	2315	29755
Gene3.1	170061	24104	0	41151
Gene21.1	4411	5702	7728	9
Gene21.2	35453	5178	3122	273
Gene21.3	2912	58631	21	48
Gene31.1	21448	45933	29198	155910
Gene31.2	83868	94340	7728	2956
Gene31.3	14838	245753	5304	62540
Gene31.4	22457	133155	16964	49777
Gene31.5	95291	68505	119886	34810
Gene41.1	295110	9292	347420	52595
Gene41.2	43485	8479	232884	358099
offtarget	200000	200000	200000	200000
